in,Toyota,White,A999,C1001,2022-11-06 20:19:35
in,Toyota,White,A999,C1001,2022-11-06 20:19:35
in,Honda,red,B99,C1002,2022-11-06 20:22:39
in,Honda,red,B99,C1002,2022-11-06 20:22:39
in,Benz,brown,C11,C1003,2022-11-06 20:24:55
in,Benz,brown,C11,C1003,2022-11-06 20:24:55
in,Toyota,red,C111,1001,2022-11-07 20:16:39
in,Toyota,red,C111,1001,2022-11-07 20:16:39
in,Honda,green,C222,1002,2022-11-07 20:16:56
in,Honda,green,C222,1002,2022-11-07 20:16:56
in,Benz,white,A333,1003,2022-11-07 20:17:12
in,Benz,white,A333,1003,2022-11-07 20:17:12
in,Toyota,red,A9999,1001,2022-11-07 21:08:42
in,Toyota,red,A9999,1001,2022-11-07 21:08:42
in,Honda,red,A9999,1001,2022-11-07 21:12:55
in,Honda,red,A9999,1001,2022-11-07 21:12:55
in,Honda,red,A9999,1002,2022-11-07 21:14:30
in,Honda,red,A9999,1002,2022-11-07 21:14:30
in,toyota,red,A99,1001,2022-11-07 21:20:12
in,toyota,red,A99,1001,2022-11-07 21:20:12
in,honda,green,B99,1002,2022-11-07 21:20:35
in,honda,green,B99,1002,2022-11-07 21:20:35
in,toyota,red,A99,1001,2022-11-07 21:32:29
in,toyota,red,A99,1001,2022-11-07 21:32:29
in,benz,red,B99,1002,2022-11-07 21:36:22
in,benz,red,B99,1002,2022-11-07 21:36:22
in,ford,black,C99,1003,2022-11-07 21:39:19
in,ford,black,C99,1003,2022-11-07 21:39:19
in,honda,red,A99,1004,2022-11-07 21:43:46
in,honda,red,A99,1004,2022-11-07 21:43:46
in,civic,B99,B99,1005,2022-11-07 21:44:09
in,civic,B99,B99,1005,2022-11-07 21:44:09
